OCCURRED_ON_DATE,AFFRAY,AIRCRAFT INCIDENTS,ANIMAL ABUSE,"ANIMAL INCIDENTS (DOG BITES, LOST DOG, ETC)",ARSON,ASSAULT - AGGRAVATED,ASSAULT - SIMPLE,AUTO THEFT,AUTO THEFT - LEASED/RENTED VEHICLE,AUTO THEFT - MOTORCYCLE / SCOOTER,BALLISTICS EVIDENCE/FOUND,BOMB THREAT,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,BREAKING AND ENTERING (B&E) MOTOR VEHICLE (NO PROPERTY STOLEN),BURGLARY - COMMERICAL,BURGLARY - RESIDENTIAL,CHILD REQUIRING ASSISTANCE (FOMERLY CHINS),DANGEROUS OR HAZARDOUS CONDITION,DEATH INVESTIGATION,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,DRUGS - POSSESSION OF DRUG PARAPHANALIA,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,DRUNKENNESS,EMBEZZLEMENT,EVADING FARE,EXPLOSIVES - POSSESSION OR USE,EXPLOSIVES - TURNED IN OR FOUND,EXTORTION OR BLACKMAIL,FIRE REPORT,FIRE REPORT/ALARM - FALSE,FIREARM/WEAPON - ACCIDENTAL INJURY / DEATH,FIREARM/WEAPON - FOUND OR CONFISCATED,FIREARM/WEAPON - LOST,FORGERY / COUNTERFEITING,FRAUD - CREDIT CARD / ATM FRAUD,FRAUD - FALSE PRETENSE / SCHEME,FRAUD - IMPERSONATION,FRAUD - WELFARE,FRAUD - WIRE,FUGITIVE FROM JUSTICE,GRAFFITI,HARASSMENT/ CRIMINAL HARASSMENT,HARBOR INCIDENT / VIOLATION,INJURY BICYCLE NO M/V INVOLVED,INTIMIDATING WITNESS,INVESTIGATE PERSON,INVESTIGATE PROPERTY,KIDNAPPING/CUSTODIAL KIDNAPPING/ ABDUCTION,LANDLORD - TENANT,LARCENY ALL OTHERS,LARCENY PICK-POCKET,LARCENY PURSE SNATCH - NO FORCE,LARCENY SHOPLIFTING,LARCENY THEFT FROM BUILDING,LARCENY THEFT FROM COIN-OP MACHINE,LARCENY THEFT FROM MV - NON-ACCESSORY,LARCENY THEFT OF BICYCLE,LARCENY THEFT OF MV PARTS & ACCESSORIES,LICENSE PREMISE VIOLATION,LIQUOR LAW VIOLATION,LIQUOR/ALCOHOL - DRINKING IN PUBLIC,M/V - LEAVING SCENE - PERSONAL INJURY,M/V - LEAVING SCENE - PROPERTY DAMAGE,M/V ACCIDENT - INVOLVING BICYCLE - INJURY,M/V ACCIDENT - INVOLVING BICYCLE - NO INJURY,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,M/V ACCIDENT - INVOLVING PEDESTRIAN - NO INJURY,M/V ACCIDENT - OTHER,M/V ACCIDENT - OTHER CITY VEHICLE,M/V ACCIDENT - PERSONAL INJURY,M/V ACCIDENT - POLICE VEHICLE,M/V ACCIDENT - PROPERTY DAMAGE,M/V PLATES - LOST,MANSLAUGHTER - VEHICLE - NEGLIGENCE,MISSING PERSON,MISSING PERSON - LOCATED,MISSING PERSON - NOT REPORTED - LOCATED,"MURDER, NON-NEGLIGENT MANSLAUGHTER","MURDER, NON-NEGLIGIENT MANSLAUGHTER",NOISY PARTY/RADIO-NO ARREST,OBSCENE PHONE CALLS,OPERATING UNDER THE INFLUENCE (OUI) ALCOHOL,OPERATING UNDER THE INFLUENCE (OUI) DRUGS,OTHER OFFENSE,POSSESSION OF BURGLARIOUS TOOLS,PRISONER - SUICIDE / SUICIDE ATTEMPT,PRISONER ESCAPE / ESCAPE & RECAPTURE,PROPERTY - ACCIDENTAL DAMAGE,PROPERTY - FOUND,PROPERTY - LOST THEN LOCATED,PROPERTY - LOST/ MISSING,PROPERTY - STOLEN THEN RECOVERED,PROSTITUTION,PROSTITUTION - SOLICITING,PROTECTIVE CUSTODY / SAFEKEEPING,RECOVERED - MV RECOVERED IN BOSTON (STOLEN IN BOSTON) MUST BE SUPPLEMENTAL,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),ROBBERY,SEARCH WARRANT,SERVICE TO OTHER AGENCY,SICK ASSIST,SICK ASSIST - DRUG RELATED ILLNESS,SICK/INJURED/MEDICAL - PERSON,SICK/INJURED/MEDICAL - POLICE,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,SUDDEN DEATH,SUICIDE / SUICIDE ATTEMPT,THREATS TO DO BODILY HARM,TOWED MOTOR VEHICLE,TRESPASSING,TRUANCY / RUNAWAY,VAL - OPERATING AFTER REV/SUSP.,VAL - OPERATING W/O AUTHORIZATION LAWFUL,VAL - VIOLATION OF AUTO LAW,VANDALISM,VERBAL DISPUTE,VIOLATION - CITY ORDINANCE,WARRANT ARREST - BOSTON WARRANT (MUST BE SUPPLEMENTAL),WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,Total
2022-01-01,0.0,0.0,0.0,0.0,0.0,7.0,11.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,16.0,10.0,0.0,0.0,3.0,0.0,0.0,7.0,2.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,1.0,5.0,1.0,0.0,4.0,0.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,1.0,172.0
2022-01-02,0.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,7.0,0.0,1.0,5.0,0.0,0.0,4.0,4.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,1.0,5.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,132.0
2022-01-03,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,7.0,0.0,1.0,2.0,0.0,0.0,8.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,10.0,3.0,2.0,0.0,1.0,1.0,0.0,5.0,6.0,0.0,0.0,2.0,1.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,158.0
2022-01-04,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,6.0,4.0,4.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.0,9.0,5.0,0.0,0.0,0.0,0.0,127.0
2022-01-05,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,11.0,0.0,2.0,2.0,0.0,0.0,6.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,3.0,4.0,1.0,0.0,0.0,0.0,7.0,9.0,2.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,1.0,1.0,170.0
2022-01-06,0.0,0.0,0.0,1.0,0.0,6.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,13.0,7.0,0.0,1.0,3.0,0.0,0.0,5.0,3.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,16.0,0.0,1.0,3.0,0.0,4.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,2.0,6.0,1.0,1.0,4.0,0.0,8.0,11.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,167.0
2022-01-07,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,10.0,6.0,0.0,0.0,3.0,0.0,0.0,8.0,2.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,2.0,7.0,3.0,1.0,4.0,0.0,6.0,3.0,0.0,0.0,0.0,1.0,1.0,10.0,4.0,0.0,0.0,0.0,0.0,147.0
2022-01-08,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,7.0,1.0,1.0,2.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,4.0,0.0,0.0,2.0,0.0,4.0,8.0,0.0,0.0,1.0,0.0,2.0,11.0,4.0,0.0,0.0,0.0,0.0,120.0
2022-01-09,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,7.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,16.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,135.0
2022-01-10,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,6.0,4.0,0.0,3.0,0.0,5.0,8.0,0.0,0.0,1.0,0.0,3.0,8.0,2.0,0.0,1.0,0.0,1.0,165.0
