date,positive,negative,neutral,non_irony,irony,non-hate,hate,non-offensive,offensive
2022-01-01,0.61,0.18,0.21,0.8,0.2,0.99,0.01,0.93,0.07
2022-01-02,0.47,0.26,0.27,0.77,0.23,1.0,0.0,0.91,0.09
2022-01-03,0.34,0.34,0.32,0.77,0.23,0.99,0.01,0.88,0.12
2022-01-04,0.44,0.27,0.29,0.75,0.25,1.0,0.0,0.9,0.1
2022-01-05,0.42,0.25,0.33,0.77,0.23,0.99,0.01,0.92,0.08
2022-01-06,0.28,0.31,0.41,0.77,0.23,1.0,0.0,0.89,0.11
2022-01-07,0.54,0.09,0.37,0.77,0.23,0.99,0.01,0.93,0.07
2022-01-08,0.46,0.24,0.3,0.79,0.21,1.0,0.0,0.95,0.05
2022-01-09,0.34375,0.25,0.40625,0.7604166666666666,0.23958333333333334,1.0,0.0,0.9166666666666666,0.08333333333333333
2022-01-10,0.44680851063829785,0.24468085106382978,0.30851063829787234,0.8191489361702128,0.18085106382978725,1.0,0.0,0.925531914893617,0.07446808510638298
2022-01-11,0.41,0.23,0.36,0.74,0.26,0.97,0.03,0.95,0.05
2022-01-12,0.39,0.26,0.35,0.74,0.26,0.99,0.01,0.96,0.04
2022-01-13,0.51,0.23,0.26,0.79,0.21,0.99,0.01,0.95,0.05
2022-01-14,0.54,0.13,0.33,0.81,0.19,1.0,0.0,0.89,0.11
2022-01-15,0.48,0.23,0.29,0.76,0.24,0.98,0.02,0.93,0.07
2022-01-16,0.34,0.28,0.38,0.73,0.27,0.98,0.02,0.87,0.13
2022-01-17,0.36,0.13,0.51,0.75,0.25,1.0,0.0,0.87,0.13
2022-01-18,0.43,0.23,0.34,0.69,0.31,0.99,0.01,0.88,0.12
2022-01-19,0.47,0.18,0.35,0.78,0.22,1.0,0.0,0.9,0.1
2022-01-20,0.36,0.19,0.45,0.72,0.28,0.99,0.01,0.89,0.11
2022-01-21,0.26,0.32,0.42,0.78,0.22,0.99,0.01,0.89,0.11
2022-01-22,0.38,0.16,0.46,0.79,0.21,1.0,0.0,0.94,0.06
2022-01-23,0.4,0.22,0.38,0.64,0.36,1.0,0.0,0.93,0.07
2022-01-24,0.32,0.22,0.46,0.75,0.25,1.0,0.0,0.92,0.08
2022-01-25,0.46,0.24,0.3,0.77,0.23,1.0,0.0,0.87,0.13
2022-01-26,0.3,0.3,0.4,0.68,0.32,0.99,0.01,0.88,0.12
2022-01-27,0.39,0.27,0.34,0.71,0.29,1.0,0.0,0.94,0.06
2022-01-28,0.36,0.17,0.47,0.76,0.24,1.0,0.0,0.94,0.06
2022-01-29,0.34,0.16,0.5,0.8,0.2,1.0,0.0,0.98,0.02
2022-01-30,0.5,0.11,0.39,0.69,0.31,1.0,0.0,0.98,0.02
2022-01-31,0.45,0.23,0.32,0.8,0.2,1.0,0.0,0.89,0.11
2022-02-01,0.42,0.21,0.37,0.71,0.29,1.0,0.0,0.92,0.08
2022-02-02,0.46,0.22,0.32,0.78,0.22,1.0,0.0,0.95,0.05
2022-02-03,0.4,0.24,0.36,0.78,0.22,0.99,0.01,0.91,0.09
2022-02-04,0.39,0.18,0.43,0.76,0.24,1.0,0.0,0.92,0.08
2022-02-05,0.45,0.24,0.31,0.74,0.26,1.0,0.0,0.9,0.1
2022-02-06,0.36,0.29,0.35,0.83,0.17,1.0,0.0,0.92,0.08
2022-02-07,0.4,0.21,0.39,0.77,0.23,0.99,0.01,0.93,0.07
2022-02-08,0.33,0.21,0.46,0.8,0.2,1.0,0.0,0.93,0.07
2022-02-09,0.39,0.29,0.32,0.72,0.28,1.0,0.0,0.9,0.1
2022-02-10,0.46,0.26,0.28,0.74,0.26,0.99,0.01,0.9,0.1
2022-02-11,0.42,0.24,0.34,0.81,0.19,1.0,0.0,0.96,0.04
2022-02-12,0.44,0.22,0.34,0.8,0.2,1.0,0.0,0.91,0.09
2022-02-13,0.56,0.15,0.29,0.81,0.19,1.0,0.0,0.97,0.03
2022-02-14,0.44,0.2,0.36,0.78,0.22,0.99,0.01,0.95,0.05
2022-02-15,0.58,0.17,0.25,0.85,0.15,1.0,0.0,0.91,0.09
2022-02-16,0.41,0.19,0.4,0.85,0.15,1.0,0.0,0.95,0.05
2022-02-17,0.5,0.19,0.31,0.73,0.27,1.0,0.0,0.91,0.09
2022-02-18,0.44,0.18,0.38,0.77,0.23,0.99,0.01,0.9,0.1
2022-02-19,0.45,0.2,0.35,0.86,0.14,0.99,0.01,0.93,0.07
2022-02-20,0.43,0.24,0.33,0.76,0.24,0.99,0.01,0.94,0.06
2022-02-21,0.52,0.15,0.33,0.78,0.22,0.99,0.01,0.88,0.12
2022-02-22,0.48,0.18,0.34,0.74,0.26,1.0,0.0,0.91,0.09
2022-02-23,0.43,0.25,0.32,0.77,0.23,1.0,0.0,0.9,0.1
